STDR_YM,VIAT_SE_CD,VIAT_CD,VIAT_ID,LCLASDC,MLSFCDC,SCLASDC,DCLASDC,BCLASDC,VIAT_NM,ADRES_CD,ADRES_NM,TELNO,X_VALUE,Y_VALUE,ADRES_SP,BLCK_CD,REGIST_DE,ERSR_DE,REGIST_DT,geometry
,030105,0204,AA0000003920,교육/보건,교육시설,대학교,종합대학,부속시설,삼육대학교SAY,,,,209189.084412,560433.522827,,2811,,,,POINT (209189.0844116211 560433.5228271484)
,030106,0000,AA0000003921,교육/보건,교육시설,기타교육기관,미분류,,킹프라자한성보육교사교육원,,,,204322.942627,561438.909485,,334853,,,,POINT (204322.94262695312 561438.9094848633)
,070301,0107,AA0000003922,숙박/음식,숙박시설,기타숙박시설,,,애니텔모텔,,,,204363.640381,561486.796204,,356392,,,,POINT (204363.64038085938 561486.7962036133)
,010301,0700,AA0000003923,행정,지방행정기관,지방행정집행기관,동주민센터,,번제1동주민센터,,,,202548.318909,559809.663818,,219257,,,,POINT (202548.3189086914 559809.6638183594)
,070301,0107,AA0000003924,숙박/음식,숙박시설,기타숙박시설,,,몽모텔,,,,202348.660828,559992.950012,,220109,,,,POINT (202348.66082763672 559992.950012207)
,030201,0000,AA0000003925,교육/보건,보건시설,병/의원,미분류,,임명수치과의원,,,,205248.816772,553354.744995,,361911,,,,POINT (205248.81677246094 553354.7449951172)
,030103,0200,AA0000003926,교육/보건,교육시설,중등교육기관,공립중학교,,휘경중학교,,,,205414.288513,554098.421631,,282166,,,,POINT (205414.2885131836 554098.4216308594)
,030201,0000,AA0000003927,교육/보건,보건시설,병/의원,미분류,,삼육서울병원,,,,205380.610474,554103.114502,,362339,,,,POINT (205380.6104736328 554103.1145019531)
,030105,0202,AA0000003928,교육/보건,교육시설,대학교,종합대학,캠퍼스,고려대학교서울안암캠퍼스수당삼양패컬티하우스,,,,202711.659729,554378.343689,,499604,,,,POINT (202711.6597290039 554378.3436889648)
,050101,0000,AA0000003929,시설물,교통시설,철도/지하철,미분류,,외대앞역,,,,205570.467529,555097.567993,,335591,,,,POINT (205570.46752929688 555097.5679931641)
,030105,0204,AA0000003930,교육/보건,교육시설,대학교,종합대학,부속시설,경희대학교SPACE21,,,,204733.666626,555131.264893,,340808,,,,POINT (204733.66662597656 555131.2648925781)
,030105,0204,AA0000003931,교육/보건,교육시설,대학교,종합대학,부속시설,경희대학교SPACE21,,,,204787.935974,555133.750427,,340808,,,,POINT (204787.9359741211 555133.7504272461)
,030105,0204,AA0000003932,교육/보건,교육시설,대학교,종합대학,부속시설,한국외국어대학교교수연구동,,,,205210.335388,555106.062378,,362764,,,,POINT (205210.3353881836 555106.0623779297)
,070301,0107,AA0000003933,숙박/음식,숙박시설,기타숙박시설,,,테마21모텔,,,,207368.566406,555109.365112,,211089,,,,POINT (207368.56640625 555109.3651123047)
,070305,0119,AA0000003934,산업,서비스산업,금융/보험업,일반은행,새마을금고,중화2동새마을금고,,,,206394.259399,555115.667908,,204701,,,,POINT (206394.25939941406 555115.6679077148)
,030201,0000,AA0000003935,교육/보건,보건시설,병/의원,미분류,,서울이안치과의원,,,,205530.815491,555111.439514,,335591,,,,POINT (205530.81549072266 555111.4395141602)
,030105,0204,AA0000003936,교육/보건,교육시설,대학교,종합대학,부속시설,삼육대학교삼육사택,,,,209395.297302,560599.517273,,2811,,,,POINT (209395.2973022461 560599.5172729492)
,030201,0000,AA0000003937,교육/보건,보건시설,병/의원,미분류,,콤미빌딩홍영란치과의원,,,,204348.328125,561449.066223,,334853,,,,POINT (204348.328125 561449.0662231445)
,070301,0205,AA0000003938,산업,서비스산업,종합상품판매업,할인매장,이마트,이마트창동점,,,,204165.949707,561353.245422,,353488,,,,POINT (204165.94970703125 561353.2454223633)
,030205,0100,AA0000003939,교육/보건,보건시설,기타보건시설,약국,미분류,즐거운약국,,,,204069.243591,561491.616394,,408588,,,,POINT (204069.2435913086 561491.616394043)
,030101,0100,AA0000003940,교육/보건,교육시설,유아교육기관,어린이집,,누리어린이집,,,,203061.595581,563103.241089,,349912,,,,POINT (203061.5955810547 563103.2410888672)
,030201,0000,AA0000003941,교육/보건,보건시설,병/의원,미분류,,북서울요양병원,,,,202644.316284,559840.568909,,218669,,,,POINT (202644.3162841797 559840.5689086914)
,030101,0100,AA0000003942,교육/보건,교육시설,유아교육기관,어린이집,,경희어린이집,,,,203286.859619,555107.947571,,218607,,,,POINT (203286.85961914062 555107.9475708008)
,030105,0204,AA0000003943,교육/보건,교육시설,대학교,종합대학,부속시설,경희대학교호텔관광대학관,,,,204512.457886,555094.904297,,340808,,,,POINT (204512.4578857422 555094.904296875)
,030105,0204,AA0000003944,교육/보건,교육시설,대학교,종합대학,부속시설,경희대학교미술대학,,,,204286.978577,555112.123474,,340808,,,,POINT (204286.97857666016 555112.1234741211)
,030103,0200,AA0000003945,교육/보건,교육시설,중등교육기관,공립중학교,,용마중학교,,,,207589.750122,552755.705688,,213709,,,,POINT (207589.7501220703 552755.7056884766)
,030204,0000,AA0000003946,교육/보건,보건시설,한의원,,,성산한의원,,,,202769.56189,551529.244812,,187184,,,,POINT (202769.56188964844 551529.2448120117)
,030201,0000,AA0000003947,교육/보건,보건시설,병/의원,미분류,,콤마프라자닥터플란트치과의원,,,,204338.193115,561521.895691,,356293,,,,POINT (204338.19311523438 561521.895690918)
,050101,0000,AA0000003948,시설물,교통시설,철도/지하철,미분류,,창동역,,,,204208.431274,561507.996216,,356389,,,,POINT (204208.43127441406 561507.9962158203)
,030201,0000,AA0000003949,교육/보건,보건시설,병/의원,미분류,,창동제일의원,,,,204012.358582,561363.632324,,353503,,,,POINT (204012.35858154297 561363.6323242188)
,070305,0119,AA0000003950,산업,서비스산업,금융/보험업,일반은행,새마을금고,MG새마을금고도봉창동지점,,,,204000.166077,561623.218201,,354563,,,,POINT (204000.16607666016 561623.2182006836)
,070305,0104,AA0000003951,산업,서비스산업,금융/보험업,일반은행,신한은행,신한은행수유점,,,,202340.819275,559827.558594,,218652,,,,POINT (202340.81927490234 559827.55859375)
,030201,0000,AA0000003952,교육/보건,보건시설,병/의원,미분류,,정희빌딩김승일의원,,,,202777.318604,552683.416321,,361576,,,,POINT (202777.31860351562 552683.4163208008)
,030102,0200,AA0000003953,교육/보건,교육시설,초등교육기관,공립초등학교,,서울종암초등학교,,,,202738.832581,553626.585876,,358909,,,,POINT (202738.8325805664 553626.5858764648)
