,학교종류명,학교명,도로명주소,x,y,city,gu,dong
627,중학교,대광중학교,서울특별시 동대문구 안암로 6,127.0721386,37.584937,서울특별시,동대문구,휘경2동
628,중학교,경희중학교,서울특별시 동대문구 경희대로 26,127.0360488,37.5895166,서울특별시,동대문구,제기동
629,중학교,경희여자중학교,서울특별시 동대문구 경희대로 26,127.051005820392,37.59441475,서울특별시,동대문구,회기동
630,초등학교,은석초등학교,서울특별시 동대문구 장안벚꽃로 205,127.051005820392,37.59441475,서울특별시,동대문구,회기동
631,초등학교,서울휘봉초등학교,서울특별시 동대문구 장안벚꽃로 309,127.0762807,37.5788007,서울특별시,동대문구,장안2동
632,초등학교,서울휘경초등학교,서울특별시 동대문구 망우로6길 48,127.0762807,37.5788007,서울특별시,동대문구,장안2동
633,초등학교,서울홍파초등학교,서울특별시 동대문구 고산자로 518,127.0558167,37.5865629,서울특별시,동대문구,휘경2동
634,초등학교,서울홍릉초등학교,서울특별시 동대문구 회기로 90,127.0381518,37.575405,서울특별시,동대문구,용신동
635,초등학교,서울청량초등학교,서울특별시 동대문구 회기로25길 31,127.0544043,37.5905448,서울특별시,동대문구,회기동
636,초등학교,서울종암초등학교,서울특별시 동대문구 무학로44길 25,127.05583194772171,37.591993599999995,서울특별시,동대문구,회기동
637,초등학교,서울전동초등학교,서울특별시 동대문구 전농로16길 61,127.0338924,37.5820354,서울특별시,동대문구,제기동
638,초등학교,서울전농초등학교,서울특별시 동대문구 사가정로 66,127.0575357,37.5786196,서울특별시,동대문구,전농2동
639,초등학교,서울전곡초등학교,서울특별시 동대문구 전농로 172,127.062767,37.5779214,서울특별시,동대문구,전농2동
640,초등학교,서울장평초등학교,서울특별시 동대문구 답십리로,127.0534423,37.5827082,서울특별시,동대문구,전농1동
641,초등학교,서울이문초등학교,서울특별시 동대문구 신이문로 16,127.0465065,37.5765595,서울특별시,동대문구,전농1동
642,초등학교,서울용두초등학교,서울특별시 동대문구 천호대로13길 43,127.0666489,37.6037515,서울특별시,동대문구,이문2동
643,초등학교,서울안평초등학교,서울특별시 동대문구 장한로14길 61,127.0298009,37.5774838,서울특별시,동대문구,용신동
644,초등학교,서울신답초등학교,서울특별시 동대문구 천호대로 177,127.0708467,37.5655401,서울특별시,동대문구,장안1동
645,초등학교,서울배봉초등학교,서울특별시 동대문구 사가정로 193,127.02572,37.5743227,서울특별시,동대문구,용신동
646,초등학교,서울동답초등학교,서울특별시 동대문구 답십리로60길 12,127.062767,37.5779214,서울특별시,동대문구,전농2동
647,초등학교,서울답십리초등학교,서울특별시 동대문구 전농로3길 23,127.06204,37.5679138,서울특별시,동대문구,답십리2동
648,초등학교,서울군자초등학교,서울특별시 동대문구 한천로6길 21,127.0559328,37.5702048,서울특별시,동대문구,답십리1동
649,초등학교,경희초등학교,서울특별시 동대문구 경희대로 26,127.0626549,37.564027,서울특별시,동대문구,장안1동
650,고등학교,서울정화고등학교,서울특별시 동대문구 홍릉로15길 50,127.051005820392,37.59441475,서울특별시,동대문구,회기동
651,평생학교(고)-2년6학기,학력인정 청량정보고등학교(2년제),서울특별시 동대문구 답십리로15길 32,127.0416142,37.5852717,서울특별시,동대문구,제기동
