,구,동,all_chi,pub_chi,ratio_chi,all_kin,pub_kin,ratio_kin,all
403,송파구,잠실7동,0,0,0.0,1,1,100.0,1
404,송파구,잠실2동,14,4,28.57142857142857,3,2,66.66666666666666,6
405,송파구,잠실3동,16,1,6.25,2,2,100.0,3
406,송파구,장지동,23,12,52.17391304347826,4,0,0.0,12
407,송파구,위례동,33,18,54.54545454545454,5,5,100.0,23
408,강동구,강일동,29,11,37.93103448275862,3,2,66.66666666666666,13
409,강동구,명일1동,13,4,30.76923076923077,1,1,100.0,5
410,강동구,명일2동,8,1,12.5,4,0,0.0,1
411,강동구,고덕1동,9,2,22.22222222222222,1,0,0.0,2
412,강동구,고덕2동,12,6,50.0,2,1,50.0,7
413,강동구,암사2동,14,3,21.428571428571427,1,0,0.0,3
414,강동구,암사3동,9,4,44.44444444444444,1,0,0.0,4
415,강동구,천호1동,16,6,37.5,1,1,100.0,7
416,강동구,천호3동,8,3,37.5,2,0,0.0,3
417,강동구,성내1동,13,5,38.46153846153847,1,0,0.0,5
418,강동구,성내2동,9,2,22.22222222222222,0,0,0.0,2
419,강동구,성내3동,11,4,36.36363636363637,1,0,0.0,4
420,강동구,둔촌1동,0,0,0.0,0,0,0.0,0
421,강동구,둔촌2동,15,5,33.33333333333333,2,1,50.0,6
422,강동구,암사1동,17,4,23.52941176470588,1,1,100.0,5
423,강동구,천호2동,10,5,50.0,2,0,0.0,5
424,강동구,길동,17,6,35.294117647058826,3,2,66.66666666666666,8
425,강동구,상일1동,13,8,61.53846153846154,5,2,40.0,10
426,강동구,상일2동,15,7,46.66666666666666,1,0,0.0,7
